Starting sarsa training
[INFO] [1743221477.135655, 192.378000]: Episode: 57/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.673 | Time: 70.1s | Head Height: 0.071
[INFO] [1743221477.275075, 192.438000]: Initial height of Gurdy: 0.07060294939238348
[INFO] [1743221478.407447, 193.024000]: Episode: 58/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.670 | Time: 71.4s | Head Height: 0.078
[INFO] [1743221478.512148, 193.086000]: Initial height of Gurdy: 0.07076978923752486
[INFO] [1743221479.327337, 193.460000]: Episode: 59/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.666 | Time: 72.3s | Head Height: 0.073
[INFO] [1743221479.474400, 193.537000]: Initial height of Gurdy: 0.07501705881081654
[INFO] [1743221480.488225, 194.109000]: Episode: 60/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.663 | Time: 73.5s | Head Height: 0.076
[INFO] [1743221480.678189, 194.224000]: Initial height of Gurdy: 0.07738789148903659
[INFO] [1743221481.590195, 194.700000]: Episode: 61/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.660 | Time: 74.6s | Head Height: 0.076
[INFO] [1743221481.698658, 194.757000]: Initial height of Gurdy: 0.07315104149443236
[INFO] [1743221482.791404, 195.326000]: Episode: 62/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.656 | Time: 75.8s | Head Height: 0.074
[INFO] [1743221482.909849, 195.370000]: Initial height of Gurdy: 0.07562721452232875
[INFO] [1743221483.894969, 195.868000]: Episode: 63/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.653 | Time: 76.9s | Head Height: 0.075
[INFO] [1743221484.004586, 195.925000]: Initial height of Gurdy: 0.06790331244884396
[INFO] [1743221484.814808, 196.370000]: Episode: 64/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.650 | Time: 77.8s | Head Height: 0.067
[INFO] [1743221484.929955, 196.459000]: Initial height of Gurdy: 0.07547067605058617
[INFO] [1743221486.106978, 197.131000]: Episode: 65/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.646 | Time: 79.1s | Head Height: 0.075
[INFO] [1743221486.213109, 197.204000]: Initial height of Gurdy: 0.07137099610705397
[INFO] [1743221487.322487, 197.832000]: Episode: 66/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.643 | Time: 80.3s | Head Height: 0.070
[INFO] [1743221487.497445, 197.976000]: Initial height of Gurdy: 0.07533574195364223
[INFO] [1743221488.492279, 198.521000]: Episode: 67/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.640 | Time: 81.5s | Head Height: 0.070
[INFO] [1743221488.603928, 198.587000]: Initial height of Gurdy: 0.07057910380297111
[INFO] [1743221489.818621, 199.318000]: Episode: 68/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.637 | Time: 82.8s | Head Height: 0.072
[INFO] [1743221489.929717, 199.353000]: Initial height of Gurdy: 0.0843135001682683
[INFO] [1743221491.096441, 199.995000]: Episode: 69/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.634 | Time: 84.1s | Head Height: 0.082
[INFO] [1743221491.215067, 200.090000]: Initial height of Gurdy: 0.07331530519924725
[INFO] [1743221492.400824, 200.714000]: Episode: 70/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.630 | Time: 85.4s | Head Height: 0.081
[INFO] [1743221492.527508, 200.825000]: Initial height of Gurdy: 0.07098448279806825
[INFO] [1743221493.608867, 201.499000]: Episode: 71/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.627 | Time: 86.6s | Head Height: 0.073
[INFO] [1743221493.715889, 201.554000]: Initial height of Gurdy: 0.06871024414366222
[INFO] [1743221494.796833, 202.079000]: Episode: 72/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.624 | Time: 87.8s | Head Height: 0.072
[INFO] [1743221494.902221, 202.148000]: Initial height of Gurdy: 0.07374623590874604
[INFO] [1743221496.087679, 202.877000]: Episode: 73/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.621 | Time: 89.1s | Head Height: 0.074
